ئا: ئا
بېسىلمىغانلىقىنى: بېسىلمى,غان,لىق,ى,نى
بېسىلىش: بېسىل,ىش
بېسىلىشى: بېسىل,ىش,ى
بېسىم: بېسىم
بېسىمغا: بېسىم,غا
بېسىملىق: بېسىملىق
بېسىمنى: بېسىم,نى
بېسىمى: بېسىم,ى
بېسىمىدىن: بېسىم,ى,دىن
بېسىمىغا: بېسىم,ى,غا
بېسىمىنى: بېسىم,ى,نى
بېسىمىنىڭ: بېسىم,ى,نىڭ
بېسىپ: بېس,ىپ
بېسىپتۇ: بېس,ىپ,تۇ
بېسىۋالدى: بېسىۋال,دى
بېسىۋالغان: بېسىۋال,غان
بېسىۋېتىپ: بېسىۋېت,ىپ
بېشارەت: بېشارەت
بېشى: بېش,ى
بېشىدا: بېش,ى,دا
بېشىدىكى: بېش,ى,دىكى
بېشىدىلا: بېش,ى,دى,لا
بېشىدىن: بېش,ى,دىن
بېشىغا: بېش,ى,غا
بېشىغىچە: بېش,ى,غىچە
بېغىشلاش: بېغىشلا,ش
بېغىشلاشتا: بېغىشلا,ش,تا
بېغىشلايدۇ: بېغىشلا,ي,دۇ
بېقىش: بېق,ىش
بېقىشتا: بېق,ىش,تا
بېقىشقا: بېق,ىش,قا
بېقىلىۋاتقان: بېقىلىۋات,قان
بېقىلىۋاتقانلار: بېقىلىۋات,قان,لار
بېقىندى: بېقىن,دى
بېقىنىۋالغاندا: بېقىنىۋال,غان,دا
بېقىۋاتقان: بېقىۋات,قان
بېكمۇقامەت: بېكمۇقامەت
بېكمۇھەممەد: بېكمۇھەممەد
بېكىتتى: بېكىت,تى
بېكىتكەن: بېكىت,كەن
بېكىتكەنلىكىدىن: بېكىت,كەن,لىك,ى,دىن
بېكىتى: بېكىت,ى
بېكىتىدىكەن: بېكىت,ىدىكەن
بېكىتىدىن: بېكىت,ى,دىن
بېكىتىدۇ: بېكىت,ىدۇ
بېكىتىدە: بېكىت,ى,دە
بېكىتىش: بېكىت,ىش
بېكىتىشتە: بېكىت,ىش,تە
بېكىتىشكە: بېكىت,ىش,كە
بېكىتىشنى: بېكىت,ىش,نى
بېكىتىشى: بېكىت,ىش,ى
بېكىتىلدى: بېكىتىل,دى
بېكىتىلمىگەن: بېكىتىلمى,گەن
بېكىتىلمەكچى: بېكىتىل,مەكچى
بېكىتىلىپ: بېكىتىل,ىپ
بېكىتىلىپتۇ: بېكىتىل,ىپ,تۇ
بېكىتىلگەن: بېكىتىل,گەن
بېكىتىلگەندىن: بېكىتىل,گەن,دىن
بېكىتىمىز: بېكىت,ىمىز
بېكىتىنىڭ: بېكىت,ى,نىڭ
بېكىتىپ: بېكىت,ىپ
بېكىتىگە: بېكىت,ى,گە
بېكىتەلمەيدىغانلىقى: بېكىتەلمە,ي,دىغان,لىق,ى
بېكىش: بېكىش
بېكىنمىچىلىكتىن: بېكىنمىچىلىك,تىن
بېكىنمە: بېكىنمە
بېكەت: بېكەت
بېكەتلىرى: بېكەت,لىر,ى
بېكەتلىرىدە: بېكەت,لىر,ىدە
بېكەتلىرىگە: بېكەت,لىر,ى,گە
بېكەتلەر: بېكەت,لەر
بېكەتنىڭ: بېكەت,نىڭ
بېلورۇسىيە: بېلورۇسىيە
بېلىتى: بېلىت,ى
بېلىتىنى: بېلىت,ى,نى
بېلىقچىلار: بېلىقچى,لار
بېلىقچىلىق: بېلىقچىلىق
بېلگىيەدىكى: بېلگىيە,دىكى
بېلگىيەنىڭ: بېلگىيە,نىڭ
بېلەت: بېلەت
بېلەتلىرىنى: بېلەت,لىر,ى,نى
بېلەتلەرنى: بېلەت,لەر,نى
بېلەتنى: بېلەت,نى
بېلەتنىلا: بېلەت,نى,لا
بېنتىئۇدا: بېنتىئۇ,دا
بېنتىئۇن: بېنتىئۇن
بېنتىئۇننى: بېنتىئۇن,نى
بېنز: بېنز
بېنزىن: بېنزىن
بېنزىننى: بېنزىن,نى
بېنلەي: بېنلەي
بېنيۈ: بېنيۈ
بېنيۈنىڭ: بېنيۈ,نىڭ
بېنگال: بېنگال
بېنگالنىڭ: بېنگال,نىڭ
بېي: بېي
بېيتىڭ: بېيتىڭ
بېيجىڭ: بېيجىڭ
بېيجىڭدا: بېيجىڭ,دا
بېيجىڭدىكى: بېيجىڭ,دىكى
بېيجىڭغا: بېيجىڭ,غا
بېيجىڭغىچە: بېيجىڭ,غىچە
بېيجىڭنىڭ: بېيجىڭ,نىڭ
بېيخەي: بېيخەي
بېيرۇت: بېيرۇت
بېيرۇتتا: بېيرۇت,تا
بېيرۇتنىڭ: بېيرۇت,نىڭ
بېيىتتى: بېيىتت,ى
بېيىتىش: بېيىت,ىش
بېيىتىشتا: بېيىت,ىش,تا
بېيىتىمىز: بېيىت,ىمىز
بېيىتىپ: بېيىت,ىپ
بېيىسا: بېيى,سا
بېيىش: بېيى,ش
بېيىشقا: بېيى,ش,قا
بېيىشىدىكى: بېيى,ش,ى,دىكى
بېيىشىغا: بېيى,ش,ى,غا
بېيىشىمىزغا: بېيى,ش,ىمىز,غا
بېيىپ: بېيى,پ
بېييۈەنچۈن: بېييۈەنچۈن
بېھىشباغ: بېھىشباغ
بەت: بەت
بەخت: بەخت
بەختكە: بەختكە
بەختلىك: بەختلىك
بەختىمگە: بەخت,ىم,گە
بەختىيار: بەختىيار
بەدىئىي: بەدىئىي
بەدىئىيلىكى: بەدىئىيلىك,ى
بەدىلى: بەدىل,ى
بەدىلىگە: بەدىل,ى,گە
بەدىنىدىكى: بەدىن,ى,دىكى
بەدىنىمىزدىكى: بەدىن,ىمىز,دىكى
بەدىنىگە: بەدىن,ى,گە
بەدەل: بەدەل
بەدەن: بەدەن
بەدەنگە: بەدەن,گە
بەرداشلىق: بەرداشلىق
بەردى: بەر,دى
بەردىڭلار: بەر,دىڭ,لار
بەردۇق: بەر,دۇق
بەرسە: بەر,سە
بەرسەكلا: بەر,سەك,لا
بەرمىدى: بەرمى,دى
بەرمىسە: بەرمى,سە
بەرمىگەن: بەرمى,گەن
بەرمەستىن: بەرمە,س,تىن
بەرمەسلىك: بەرمە,س,لىك
بەرمەسلىكى: بەرمە,س,لىك,ى
بەرمەسلىكىگە: بەرمە,س,لىك,ى,گە
بەرمەكتە: بەر,مەكتە
بەرمەي: بەر,مە,ي
بەرمەيدىغانلىقى: بەرمە,ي,دىغان,لىق,ى
بەرپا: بەرپا
بەرگىلى: بەر,گىلى
بەرگىن: بەر,گىن
بەرگۈچى: بەرگۈچى
بەرگۈچىلەر: بەرگۈچى,لەر
بەرگۈچىلەرنى: بەرگۈچى,لەر,نى
بەرگۈچىلەرنىڭ: بەرگۈچى,لەر,نىڭ
بەرگۈچىلەرگە: بەرگۈچى,لەر,گە
بەرگەنلىكى: بەر,گەن,لىك,ى
بەرگەن: بەر,گەن
بەرگەندىن: بەر,گەن,دىن
بەرگەندە: بەر,گەن,دە
بەرگەنلىك: بەر,گەن,لىك
بەرگەنلىكتىن: بەر,گەن,لىك,تىن
بەرگەنلىكى: بەر,گەن,لىك,ى
بەرگەنلىكىم: بەر,گەن,لىك,ىم
بەرگەنلىكىنى: بەر,گەن,لىك,ى,نى
بەرگەنلىكىگە: بەر,گەن,لىك,ى,گە
بەرگەنلەر: بەر,گەن,لەر
بەرگەنلەرنىڭ: بەر,گەن,لەر,نىڭ
بەرگەنمۇ: بەر,گەن,مۇ
بەزى: بەزى
بەزىبىر: بەزىبىر
بەزىلىرى: بەزى,لىر,ى
بەزىلەر: بەزى,لەر
بەزىلەرنىڭ: بەزى,لەر,نىڭ
بەزگەك: بەزگەك
بەزگەندىن: بەز,گەن,دىن
بەس: بەس
بەستە: بەس,تە
بەسخورلۇق: بەسخورلۇق
بەسلەشتى: بەسلەش,تى
بەسلەشكەن: بەسلەش,كەن
بەسى: بەسى
بەش: بەش
بەشتىن: بەش,تىن
بەشتە: بەش,تە
بەشكەنت: بەشكەنت
بەشلەشتۈرۈش: بەشلەشتۈر,ۈش
بەشنى: بەش,نى
بەشىر: بەشىر
بەشىرنىڭ: بەشىر,نىڭ
بەشىرىسى: بەشىرى,سى
بەشىرىسىنى: بەشىرى,سى,نى
بەشىرىسىنىمۇ: بەشىرى,سى,نى,مۇ
بەشىنىڭ: بەش,ى,نىڭ
بەشىنچى: بەشىنچى
بەشىنچىدىن: بەشىنچى,دىن
بەشىنچىسى: بەشىنچى,سى
بەك: بەك
بەكرى: بەكرى
بەكرىنىڭ: بەكرى,نىڭ
بەكرىگە: بەكرى,گە
بەكلا: بەك,لا
بەكمۇ: بەك,مۇ
بەل: بەل
بەلباغ: بەلباغ
بەلبېغى: بەلبېغ,ى
بەلبېغىدا: بەلبېغ,ى,دا
بەلبېغىدىكى: بەلبېغ,ى,دىكى
بەلبېغىغا: بەلبېغ,ى,غا
بەلبېغىنى: بەلبېغ,ى,نى
بەلبېغىنىڭ: بەلبېغ,ى,نىڭ
بەلكى: بەلكى
بەلگىسى: بەلگى,سى
بەلگىسىنى: بەلگى,سى,نى
بەلگىسىنىڭ: بەلگى,سى,نىڭ
بەلگىلىدى: بەلگىلى,دى
بەلگىلىرىنىڭ: بەلگى,لىر,ى,نىڭ
بەلگىلىشى: بەلگىلى,ش,ى
بەلگىلىشىگە: بەلگىلى,ش,ى,گە
بەلگىلىك: بەلگىلىك
بەلگىلىمىدە: بەلگىلىمى,دە
بەلگىلىمىسى: بەلگىلىمى,سى
بەلگىلىمىسىدە: بەلگىلىمى,سى,دە
بەلگىلىمىسىنى: بەلگىلىمى,سى,نى
بەلگىلىمىسىنىڭ: بەلگىلىمى,سى,نىڭ
بەلگىلىمىسىگە: بەلگىلىمى,سى,گە
بەلگىلىمىلىرى: بەلگىلىمى,لىر,ى
بەلگىلىمىلىرىنى: بەلگىلىمى,لىر,ى,نى
بەلگىلىمىلىرىنىڭ: بەلگىلىمى,لىر,ى,نىڭ
بەلگىلىمىلىرىگە: بەلگىلىمى,لىر,ى,گە
بەلگىلىمىلەر: بەلگىلىمى,لەر
بەلگىلىمىلەردىن: بەلگىلىمى,لەر,دىن
بەلگىلىمىلەردە: بەلگىلىمى,لەر,دە
بەلگىلىمىلەرنى: بەلگىلىمى,لەر,نى
بەلگىلىمىلەرگە: بەلگىلىمى,لەر,گە
بەلگىلىمىنى: بەلگىلىمى,نى
بەلگىلىمىنىڭ: بەلگىلىمى,نىڭ
بەلگىلىمىگە: بەلگىلىمى,گە
بەلگىلىمە: بەلگىلىمە
بەلگىلىمەسىنى: بەلگىلىمە,سى,نى
بەلگىلىنىدىغان: بەلگىلىن,ىدىغان
بەلگىلىنىشىچە: بەلگىلىن,ىش,ى,چە
بەلگىلىنىپ: بەلگىلىن,ىپ
بەلگىلىگۈچىلەر: بەلگىلىگۈچى,لەر
بەلگىلىگۈچىنىڭ: بەلگىلىگۈچى,نىڭ
بەلگىلىگەن: بەلگىلى,گەن
بەلگىلەش: بەلگىلە,ش
بەلگىلەشتىن: بەلگىلە,ش,تىن
بەلگىلەشتە: بەلگىلە,ش,تە
بەلگىلەشكە: بەلگىلە,ش,كە
بەلگىلەندى: بەلگىلەن,دى
بەلگىلەنمىگەن: بەلگىلەنمى,گەن
بەلگىلەنگەن: بەلگىلە,ن,گەن
بەلگىلەيدۇ: بەلگىلە,ي,دۇ
بەلگىلەپ: بەلگىلە,پ
بەلگىنى: بەلگى,نى
بەلگىلىنىشىنى: بەلگىلىن,ىش,ى,نى
بەلگىلەنگەن: بەلگىلەن,گەن
بەلگە: بەلگە
بەنزىدىكى: بەنزى,دىكى
بەنزىسى: بەنزى,سى
بەنزىسىدىكىلەرگە: بەنزى,سى,دىكى,لەر,گە
بەنزىسىنى: بەنزى,سى,نى
بەنزىسىنىڭ: بەنزى,سى,نىڭ
بەنزىسىگە: بەنزى,سى,گە
بەنزىلىرى: بەنزى,لىر,ى
بەنزىنىڭ: بەنزى,نىڭ
بەنزىگە: بەنزى,گە
بەنزە: بەنزە
بەنگۇڭتىڭ: بەنگۇڭتىڭ
بەنگۇڭتىڭى: بەنگۇڭتىڭ,ى
بەنگۇڭتىڭىنىڭ: بەنگۇڭتىڭ,ى,نىڭ
بەي: بەي
بەيشەن: بەيشەن
بەيفۇ: بەيفۇ
بەيياڭخې: بەيياڭخې
بەيگې: بەيگې
بەھرىلىنىدىغان: بەھرىلىن,ىدىغان
بەھرىلىنىشىنى: بەھرىلىن,ىش,ى,نى
بەھرىلىنىپ: بەھرىلىن,ىپ
بەھرىلىندى: بەھرىلىن,دى
بەھرىلىندۈرىمىز: بەھرىلىن,دۈر,ىمىز
بەھرىلەندۈرۈش: بەھرىلەن,دۈر,ۈش
بەھرىلەندۈرۈپ: بەھرىلەن,دۈر,ۈپ
بەھرىلەنگىلى: بەھرىلەن,گىلى
بەھرىمەن: بەھرىمەن
بەھىرلەندى: بەھىرلەن,دى
ت: ت
تا: تا
تائاملار: تائام,لار
تائاملىرىغا: تائام,لىر,ى,غا
تائاملىرىنىڭ: تائام,لىر,ى,نىڭ
تاتارىستان: تاتارىستان
تاتلىقبۇلاق: تاتلىقبۇلاق
تاتلىقياڭيۇ: تاتلىقياڭيۇ
تاجاۋۇز: تاجاۋۇز
تاجاۋۇزچىلىق: تاجاۋۇزچىلىق
تاجاۋۇزچىلىقى: تاجاۋۇزچىلىق,ى
تاجىستان: تاجىستان
تاجىك: تاجىك
تاجىكىستان: تاجىكىستان
تاجىكىستانغا: تاجىكىستان,غا
تاختاي: تاختاي
تاختىسى: تاختى,سى
تاختىسىنى: تاختى,سى,نى
تاختىسىنىڭ: تاختى,سى,نىڭ
تاختىلىرىنى: تاختى,لىر,ى,نى
تاختىلىق: تاختىلىق
تاختىنى: تاختى,نى
تاختىيى: تاختىي,ى
تاختىيىنى: تاختىي,ى,نى
تار: تار
تاراتقۇ: تاراتقۇ
تاراتقۇسى: تاراتقۇ,سى
تاراتقۇسىنىڭ: تاراتقۇ,سى,نىڭ
تاراتقۇلار: تاراتقۇ,لار
تاراتقۇلاردا: تاراتقۇ,لار,دا
تاراتقۇلارغا: تاراتقۇ,لار,غا
تاراتقۇلارنى: تاراتقۇ,لار,نى
تاراتقۇلارنىڭ: تاراتقۇ,لار,نىڭ
تاراتقۇلارنىڭمۇ: تاراتقۇ,لار,نىڭ,مۇ
تاراتقۇلارىنىڭ: تاراتقۇ,لار,ى,نىڭ
تاراتقۇلىرى: تاراتقۇ,لىر,ى
تاراتقۇلىرىنى: تاراتقۇ,لىر,ى,نى
تاراتقۇلىرىنىڭ: تاراتقۇ,لىر,ى,نىڭ
تارايتىلدى: تارايتىل,دى
تارباغاتاي: تارباغاتاي
تارباغاتايدىكى: تارباغاتاي,دىكى
تارباغاتاينىڭ: تارباغاتاي,نىڭ
تارتاتتى: تارت,اتتى
تارتتى: تارت,تى
تارتسىمۇ: تارت,سى,مۇ
تارتقان: تارت,قان
تارتقانلىقى: تارت,قان,لىق,ى
تارتقانلىقىنى: تارت,قان,لىق,ى,نى
تارتىدىغان: تارت,ىدىغان
تارتىدىغىنى: تارت,ىدىغىن,ى
تارتىدۇ: تارت,ىدۇ
تارتىش: تارت,ىش
تارتىشتا: تارت,ىش,تا
تارتىشقا: تارت,ىش,قا
تارتىشى: تارت,ىش,ى
تارتىلغان: تارتىل,غان
تارتىلىپ: تارتىل,ىپ
تارتىپ: تارت,ىپ
تارتىۋاتقان: تارتىۋات,قان
تارتىۋاتىدۇ: تارتىۋات,ىدۇ
تارتىۋالدى: تارتىۋال,دى
تارتىۋالغان: تارتىۋال,غان
تارغاباتاي: تارغاباتاي
تارقاتتى: تارقات,تى
تارقاتتۇق: تارقات,تۇق
تارقاتقان: تارقات,قان
تارقاتقانلارغا: تارقات,قان,لار,غا
تارقاتماسلىق: تارقاتما,س,لىق
تارقاتماسلىققا: تارقاتما,س,لىق,قا
تارقاتماسلىقى: تارقاتما,س,لىق,ى
تارقاتمايمىز: تارقاتما,ي,مىز
تارقاق: تارقاق
تارقاقلاشتۇرغان: تارقاقلاشتۇر,غان
تارقاقلاشتۇرۇش: تارقاقلاشتۇر,ۇش
تارقاقلاشتۇرۇلغان: تارقاقلاشتۇرۇل,غان
تارقاقلاشتۇرۇپ: تارقاقلاشتۇر,ۇپ
تارقاقلاشقان: تارقاقلاش,قان
تارقالدى: تارقال,دى
تارقالغان: تارقال,غان
تارقىتاتتى: تارقىت,اتتى
تارقىتىدىغان: تارقىت,ىدىغان
تارقىتىش: تارقىت,ىش
تارقىتىشتىكى: تارقىت,ىش,تىكى
تارقىتىشقا: تارقىت,ىش,قا
تارقىتىشنى: تارقىت,ىش,نى
تارقىتىشى: تارقىت,ىش,ى
تارقىتىشىغا: تارقىت,ىش,ى,غا
تارقىتىلدى: تارقىتىل,دى
تارقىتىلغان: تارقىتىل,غان
تارقىتىلغاندا: تارقىتىل,غان,دا
تارقىتىلغانلىقىنى: تارقىتىل,غان,لىق,ى,نى
تارقىتىلىدىغان: تارقىتىل,ىدىغان
تارقىتىلىدىكەن: تارقىتىل,ىدىكەن
تارقىتىلىش: تارقىتىل,ىش
تارقىتىلىشىغا: تارقىتىل,ىش,ى,غا
تارقىتىلىپ: تارقىتىل,ىپ
تارقىتىمىز: تارقىت,ىمىز
تارقىتىپ: تارقىت,ىپ
تارقىتىۋېتىدىغانلىقىنى: تارقىتىۋېت,ىدىغان,لىق,ى,نى
تارقىتىۋېتىپ: تارقىتىۋېت,ىپ
تارقىلىش: تارقىل,ىش
تارقىلىشنى: تارقىل,ىش,نى
تارقىلىشى: تارقىل,ىش,ى
تارقىلىشىغا: تارقىل,ىش,ى,غا
تارقىلىشىنى: تارقىل,ىش,ى,نى
تارقىلىشچان: تارقىلىشچان
تارلىقىدىن: تارلىق,ى,دىن
تارماق: تارماق
تارماققا: تارماق,قا
تارماقلار: تارماق,لار
تارماقلاردا: تارماق,لار,دا
تارماقلاردىكى: تارماق,لار,دىكى
تارماقلاردىن: تارماق,لار,دىن
تارماقلارغا: تارماق,لار,غا
تارماقلارنى: تارماق,لار,نى
تارماقلارنىڭ: تارماق,لار,نىڭ
تارماقلىرى: تارماق,لىر,ى
تارماقلىرىدا: تارماق,لىر,ى,دا
تارماقلىرىدىكى: تارماق,لىر,ى,دىكى
تارماقلىرىدىن: تارماق,لىر,ى,دىن
تارماقلىرىغا: تارماق,لىر,ى,غا
تارماقلىرىنى: تارماق,لىر,ى,نى
تارماقلىرىنىڭ: تارماق,لىر,ى,نىڭ
تارماقنى: تارماق,نى
تارماقنىڭ: تارماق,نىڭ
تارمىقى: تارمىق,ى
تارمىقىدا: تارمىق,ى,دا
تارمىقىدىن: تارمىق,ى,دىن
تارمىقىنىڭ: تارمىق,ى,نىڭ
تارىتىۋاتقان: تارىتىۋات,قان
تارىخ: تارىخ
تارىختا: تارىخ,تا
تارىختىكى: تارىخ,تىكى
تارىختىن: تارىخ,تىن
تارىخقا: تارىخ,قا
تارىخنى: تارىخ,نى
تارىخنىڭ: تارىخ,نىڭ
تارىخى: تارىخ,ى
تارىختىكى: تارىخ,تىكى
تارىخىدا: تارىخ,ى,دا
تارىخىدىكى: تارىخ,ى,دىكى
تارىخىغا: تارىخ,ى,غا
تارىخىنى: تارىخ,ى,نى
تارىخىي: تارىخىي
تارىك: تارىك
تارىم: تارىم
تارىنى: تارى,نى
تازا: تازا
تازىلاش: تازىلا,ش
تازىلاشقا: تازىلا,ش,قا
تازىلاشنى: تازىلا,ش,نى
تازىلاپ: تازىلا,پ
تازىلىدى: تازىلى,دى
تازىلىغان: تازىلى,غان
تازىلىغۇچىلارغا: تازىلىغۇچى,لار,غا
تازىلىق: تازىلىق
تازىم: تازىم
تاسادىپىي: تاسادىپىي
تاسقىما: تاسقىما
تاسمىسى: تاسمى,سى
تاسىنغا: تاسىن,غا
تاسىننىڭ: تاسىن,نىڭ
تاش: تاش
تاشتى: تاش,تى
تاشقان: تاش,قان
تاشقورغان: تاشقورغان
تاشقى: تاشقى
تاشقىنغا: تاشقىن,غا
تاشقىنلىققا: تاشقىنلىق,قا
تاشقىنىدا: تاشقىن,ى,دا
تاشقىنىغا: تاشقىن,ى,غا
تاشكەنت: تاشكەنت
تاشلاتقۇزۇش: تاشلاتقۇز,ۇش
تاشلاش: تاشلا,ش
تاشلاشقا: تاشلا,ش,قا
تاشلاشنى: تاشلا,ش,نى
تاشلاندى: تاشلان,دى
تاشلاندۇق: تاشلاندۇق
تاشلاندۇقلار: تاشلاندۇق,لار
تاشلاندۇقلارنى: تاشلاندۇق,لار,نى
تاشلاندۇقلارنىڭ: تاشلاندۇق,لار,نىڭ
تاشلانغان: تاشلا,ن,غان
تاشلاپ: تاشلا,پ
تاشلىدى: تاشلى,دى
تاشلىنىپ: تاشلىن,ىپ
تاشلىۋېتىلگەن: تاشلىۋېتىل,گەن
تاشنىڭمۇ: تاش,نىڭ,مۇ
تاشيول: تاشيول
تاشيولدا: تاشيول,دا
تاشيولغا: تاشيول,غا
تاشيوللار: تاشيول,لار
تاشيوللاردىكى: تاشيول,لار,دىكى
تاشيولنىڭ: تاشيول,نىڭ
تاشيولى: تاشيول,ى
تاشيولىدا: تاشيول,ى,دا
تاشيولىغا: تاشيول,ى,غا
تاشيولىنىڭ: تاشيول,ى,نىڭ
تاشپولات: تاشپولات
تاغ: تاغ
تاغا: تاغا
تاغار: تاغار
تاغاردىن: تاغار,دىن
تاغارلارغا: تاغار,لار,غا
تاغدا: تاغ,دا
تاغدىكى: تاغ,دىكى
تاغدىن: تاغ,دىن
تاغدەك: تاغ,دەك
تاغقا: تاغ,قا
تاغلىق: تاغلىق
تاغنىڭ: تاغ,نىڭ
تاغىرىنى: تاغىر,ى,نى
تاق: تاق
تاقابىل: تاقابىل
تاقاش: تاقا,ش
تاقاشقا: تاقا,ش,قا
تاقالدى: تاقال,دى
تاقالغاندا: تاقال,غان,دا
تاقاپ: تاقا,پ
تاقىشىدۇ: تاقى,ش,ىدۇ
تاقالىشقا: تاقال,ىش,قا
تاقالىپ: تاقال,ىپ
تاقىم: تاقىم
تاقىماسلىق: تاقىما,س,لىق
تاقىمىغان: تاقىمى,غان
تاقىۋېتىلىپ: تاقىۋېتىل,ىپ
تاقىۋېتىلگەن: تاقىۋېتىل,گەن
تاكامۇللاشتۇرۇش: تاكامۇللاشتۇر,ۇش
تاكامۇللاشتۇرۇپ: تاكامۇللاشتۇر,ۇپ
تاكتىكىدا: تاكتىكى,دا
تاكسى: تاكسى
تاكسىنىڭ: تاكسى,نىڭ
تاكوما: تاكوما
تاكى: تاكى
تال: تال
تالا: تالا
تالاش: تالا,ش
تالاشقان: تالاش,قان
تالالىق: تالالىق
تالانتقا: تالانت,قا
تالانتى: تالانت,ى
تالانتىنى: تالانت,ى,نى
تالاپەت: تالاپەت
تالاپەتكە: تالاپەت,كە
تالاپەتنى: تالاپەت,نى
تاللا: تاللا
تاللاش: تاللا,ش
تاللانغان: تاللان,غان
تاللانما: تاللانما
تاللاپ: تاللا,پ
تاللىدى: تاللى,دى
تاللىشى: تاللى,ش,ى
تاللىشىغا: تاللى,ش,ى,غا
تاللىشىمغا: تاللى,ش,ىم,غا
تاللىغان: تاللى,غان
تاللىغانلىق: تاللى,غان,لىق
تاللىماسلىق: تاللىما,س,لىق
تاللىنىدىغان: تاللىن,ىدىغان
تاللىنىدۇ: تاللىن,ىدۇ
تاللىنىپ: تاللىن,ىپ
تالون: تالون
تالونلىرى: تالون,لىر,ى
تالوننى: تالون,نى
تالىبان: تالىبان
تالىبانلار: تالىبان,لار
تالىبانلىرى: تالىبان,لىر,ى
تالىشىش: تالىش,ىش
تالىشىپ: تالىش,ىپ
تالىپ: تالىپ
تالىپنىڭ: تالىپ,نىڭ
تام: تام
تاماشا: تاماشا
تاماشىبنلار: تاماشىبن,لار
تاماشىبىنلار: تاماشىبىن,لار
تاماشىبىنلارنى: تاماشىبىن,لار,نى
تاماشىبىنلارنىڭ: تاماشىبىن,لار,نىڭ
تاماق: تاماق
تاماقلىرى: تاماق,لىر,ى
تاماقنىڭ: تاماق,نىڭ
تاماكا: تاماكا
تاماملاش: تاماملا,ش
تاماملاشقا: تاماملا,ش,قا
تاماملاشنى: تاماملا,ش,نى
تاماملاندى: تاماملان,دى
تاماملانغان: تاماملان,غان
تاماملانغاندىن: تاماملان,غان,دىن
تاماملانغانلىقىدىن: تاماملان,غان,لىق,ى,دىن
تاماملانغانلىقىنى: تاماملان,غان,لىق,ى,نى
تاماملايدىكەن: تاماملا,ي,دىكەن
تاماملايدۇ: تاماملا,ي,دۇ
تاماملاپ: تاماملا,پ
تاماملىدى: تاماملى,دى
تاماملى)غان: تاماملى),غان
تاماملىغاندىن: تاماملى,غان,دىن
تاماملىغانلىقىنى: تاماملى,غان,لىق,ى,نى
تاماملىمىغان: تاماملىمى,غان
تاماملىنىدىكەن: تاماملىن,ىدىكەن
تاماملىنىدۇ: تاماملىن,ىدۇ
تاماملىنىش: تاماملىن,ىش
تاماملىنىشىغا: تاماملىن,ىش,ى,غا
تاماملىنىپ: تاماملىن,ىپ
تامامەن: تامامەن
تامغا: تام,غا
تاملىرى: تام,لىر,ى
تاموژنا: تاموژنا
تاموژنىدىن: تاموژنى,دىن
تاموژنىسى: تاموژنى,سى
تاموژنىسىدىن: تاموژنى,سى,دىن
تاموژنىغا: تاموژنى,غا
تامىقى: تامىق,ى
تانانارىۋدىكى: تانانارىۋ,دىكى
تانتال: تانتال
تانسا: تانسا
تانكا: تانكا
تايانماي: تايان,ما,ي
تايانمىساق: تايانمى,سا,ق
تايانچ: تايانچ
تايانچلار: تايانچ,لار
تايانچلىرى: تايانچ,لىر,ى
تايانچلىرىنى: تايانچ,لىر,ى,نى
تايلاندقا: تايلاند,قا
تايلاندنىڭ: تايلاند,نىڭ
تايلاند: تايلاند
تايلاندتا: تايلاند,تا
تايلاندتىكى: تايلاند,تىكى
تايلاندقا: تايلاند,قا
تايلاندلىقلار: تايلاندلىق,لار
تايلاندنىڭ: تايلاند,نىڭ
تايىنىدىغان: تايىن,ىدىغان
تايىنىدۇ: تايىن,ىدۇ
تايىنىش: تايىن,ىش
تايىنىپ: تايىن,ىپ
تايىنىۋېلىش: تايىنىۋېل,ىش
تاپالامدۇ: تاپالا,مدۇ
تاپالايمىز: تاپالا,ي,مىز
تاپالمايدۇ: تاپالما,ي,دۇ
تاپالماسا: تاپالما,سا
تاپان: تاپان
تاپاۋىتى: تاپاۋىت,ى
تاپاۋىتىنى: تاپاۋىت,ى,نى
تاپاۋەت: تاپاۋەت
تاپتى: تاپ,تى
تاپتىم: تاپ,تىم
تاپشۇردى: تاپشۇر,دى
تاپشۇرسا: تاپشۇر,سا
تاپشۇرساق: تاپشۇر,سا,ق
تاپشۇرغان: تاپشۇر,غان
تاپشۇرغىنى: تاپشۇر,غىن,ى
تاپشۇرغۇچى: تاپشۇرغۇچى
تاپشۇرغۇچىلارنىڭ: تاپشۇرغۇچى,لار,نىڭ
تاپشۇرىدىغان: تاپشۇر,ىدىغان
تاپشۇرىدۇ: تاپشۇر,ىدۇ
تاپشۇرىمىز: تاپشۇر,ىمىز
تاپشۇرۇش: تاپشۇر,ۇش
تاپشۇرۇشقا: تاپشۇر,ۇش,قا
تاپشۇرۇشنى: تاپشۇر,ۇش,نى
تاپشۇرۇقىنى: تاپشۇرۇق,ى,نى
تاپشۇرۇلدى: تاپشۇرۇل,دى
تاپشۇرۇلغان: تاپشۇرۇل,غان
تاپشۇرۇلغاندىن: تاپشۇرۇل,غان,دىن
تاپشۇرۇلىدىكەن: تاپشۇرۇل,ىدىكەن
تاپشۇرۇپ: تاپشۇر,ۇپ
تاپشۇرۇۋالغان: تاپشۇرۇۋال,غان
تاپشۇرۇۋالغاندىن: تاپشۇرۇۋال,غان,دىن
تاپشۇرۇۋېلىنغان: تاپشۇرۇۋېلىن,غان
